Name,Rarity,Class,Type,Global release,Japan release,Global EZA release,Japan EZA release,Global EZA,Japan EZA,HP 55%,ATK 55%,DEF 55%,HP 100%,ATK 100%,DEF 100%,HP 55% EZA,ATK 55% EZA,DEF 55% EZA,HP 100% EZA,ATK 100% EZA,DEF 100% EZA,Categories,ID,Url
Power to Overcome Adversity Mai (Future),UR,Super,INT,2019-11-12,2019-04-26,na,na,No,No,12296,10140,7450,15296,13140,10450,na,na,na,na,na,na,"Peppy Gals, Future Saga, Time Travelers, Revenge, Earthlings, Battle of Wits, Connected Hope, Earth-Bred Fighters, Super Heroes, Power of Wishes",11706,https://dbz-dokkanbattle.fandom.com/wiki/Power_to_Overcome_Adversity_Mai_(Future)
Power to Overcome Crisis Super Saiyan 3 Gotenks (Xeno),UR,Super,AGL,2021-11-25,2021-11-25,na,na,No,No,10267,11263,7323,12867,14263,10723,na,na,na,na,na,na,"Fusion, Hybrid Saiyans, Super Saiyan 3, Time Travelers, Kamehameha (Category), Dragon Ball Heroes, Crossover, Defenders of Justice, Time Limit, Power Beyond Super Saiyan, Fused Fighters, Earth-Bred Fighters",12328,https://dbz-dokkanbattle.fandom.com/wiki/Power_to_Overcome_Crisis_Super_Saiyan_3_Gotenks_(Xeno)
Power to Protect the Cherished Super Saiyan 4 Gohan,UR,Super,INT,2022-11-22,2022-11-22,na,na,No,No,12755,13388,9513,15755,16388,12513,na,na,na,na,na,na,"Hybrid Saiyans, Time Travelers, Goku's Family, Siblings' Bond, Dragon Ball Heroes, Giant Ape Power, Crossover, Defenders of Justice, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters",12535,https://dbz-dokkanbattle.fandom.com/wiki/Power_to_Protect_the_Cherished_Super_Saiyan_4_Gohan
Power-Up Through the Mask Black Masked Saiyan,UR,Extreme,AGL,2020-11-19,2020-11-19,na,na,No,No,10352,11417,6837,12952,14417,10237,na,na,na,na,na,na,"Pure Saiyans, Time Travelers, Vegeta's Family, Dragon Ball Heroes, Crossover, Corroded Body and Mind, Gifted Warriors",12083,https://dbz-dokkanbattle.fandom.com/wiki/Power-Up_Through_the_Mask_Black_Masked_Saiyan
Powers Combined Majuub,UR,Super,STR,2017-03-30,2016-12-23,2021-11-18,2021-07-12,Yes,Yes,12355,9070,6110,15355,12470,8710,15279,11176,7152,18279,14576,9752,"Shadow Dragon Saga, Bond of Master and Disciple, Earthlings, Majin Power, Saviors, Connected Hope, GT Heroes, Fused Fighters, Earth-Bred Fighters",1575,https://dbz-dokkanbattle.fandom.com/wiki/Powers_Combined_Majuub
Pre-Battle Entertainment Cell (Perfect Form),UR,Extreme,TEQ,2021-10-29,2020-12-18,na,na,No,No,9609,9594,5888,11169,11634,7688,na,na,na,na,na,na,"Androids, Transformation Boost, Time Travelers, Artificial Life Forms, Androids-Cell Saga, Kamehameha (Category), Target: Goku, Power Absorption, Sworn Enemies, Accelerated Battle, Worldwide Chaos",11995,https://dbz-dokkanbattle.fandom.com/wiki/Pre-Battle_Entertainment_Cell_(Perfect_Form)
Predatory Urge Android 21 (Transformed),UR,Extreme,STR,2018-10-04,2018-07-31,2021-11-25,2021-11-25,Yes,Yes,10162,11096,5821,13162,14496,8421,12915,14164,7110,15915,17564,9710,"Peppy Gals, Androids, Full Power, Transformation Boost, Majin Power, Battle of Wits, Power Absorption, Crossover",11466,https://dbz-dokkanbattle.fandom.com/wiki/Predatory_Urge_Android_21_(Transformed)
Predatory Wolf of the Gale Yamcha,UR,Super,STR,2023-02-01,2022-10-04,2023-05-18,2023-05-18,Yes,Yes,8336,8563,5485,10136,10603,7045,10743,11046,6930,12543,13086,8490,"Dragon Ball Seekers, Movie Heroes, DB Saga, Worthy Rivals, Earthlings, Bond of Friendship, Earth-Bred Fighters",12525,https://dbz-dokkanbattle.fandom.com/wiki/Predatory_Wolf_of_the_Gale_Yamcha
Pride of the Fastest One Burter,UR,Extreme,AGL,2018-07-31,2018-02-21,2021-09-09,2021-09-09,Yes,Yes,8443,8213,4336,10843,10613,6736,10430,10133,5130,12830,12533,7530,"Planet Namek Saga, Ginyu Force, Dragon Ball Seekers, Terrifying Conquerors, Special Pose, Space-Traveling Warriors, Accelerated Battle",11305,https://dbz-dokkanbattle.fandom.com/wiki/Pride_of_the_Fastest_One_Burter
Pride of the Force Jeice,UR,Extreme,STR,2018-07-31,2018-02-21,2021-09-09,2021-09-09,Yes,Yes,8986,7730,4668,11386,10130,7068,11131,9510,5559,13531,11910,7959,"Planet Namek Saga, Ginyu Force, Dragon Ball Seekers, Terrifying Conquerors, Special Pose, Space-Traveling Warriors",11303,https://dbz-dokkanbattle.fandom.com/wiki/Pride_of_the_Force_Jeice
Princess Oto's Scorn Oceanus Shenron (Princess Oto),UR,Extreme,INT,2020-10-13,2020-08-13,na,2023-08-17,No,Yes,8808,10533,7285,11808,13533,10285,11104,13411,9068,14104,16411,12068,"Shadow Dragon Saga, Peppy Gals, GT Bosses",11770,https://dbz-dokkanbattle.fandom.com/wiki/Princess_Oto%27s_Scorn_Oceanus_Shenron_(Princess_Oto)
Promising Girl Pan (Kid),UR,Super,AGL,2022-07-01,2022-04-08,na,na,No,No,8208,9445,6775,9768,11245,8815,na,na,na,na,na,na,"World Tournament, Hybrid Saiyans, Majin Buu Saga, Goku's Family, Youth, Bond of Parent and Child, Earth-Bred Fighters",12416,https://dbz-dokkanbattle.fandom.com/wiki/Promising_Girl_Pan_(Kid)
Promising New Blood Pan (Kid),UR,Super,INT,2022-12-28,2022-12-28,na,na,No,No,9730,11331,7244,12730,14331,10244,na,na,na,na,na,na,"Hybrid Saiyans, Movie Heroes, Goku's Family, Youth, Bond of Master and Disciple, Bond of Parent and Child, Earth-Bred Fighters, Super Heroes",12609,https://dbz-dokkanbattle.fandom.com/wiki/Promising_New_Blood_Pan_(Kid)
Proof of a Hero Trunks (Kid),UR,Super,TEQ,2021-06-21,2021-04-15,na,na,No,No,8242,9597,5311,9802,11637,7111,na,na,na,na,na,na,"Hybrid Saiyans, Movie Heroes, Vegeta's Family, Youth, Gifted Warriors, Bond of Friendship, Entrusted Will, Bond of Parent and Child, Earth-Bred Fighters",12201,https://dbz-dokkanbattle.fandom.com/wiki/Proof_of_a_Hero_Trunks_(Kid)
Proof of Resurrection Golden Frieza,UR,Extreme,AGL,2017-01-25,2016-09-15,2020-06-26,2020-04-09,Yes,Yes,10837,10279,6393,13437,13279,9793,13664,12928,7798,16264,15928,11198,"Resurrected Warriors, Movie Bosses, Full Power, Transformation Boost, Wicked Bloodline, Terrifying Conquerors, Target: Goku, Revenge, Inhuman Deeds, Gifted Warriors, Planetary Destruction, Mastered Evolution, Sworn Enemies, Battle of Fate, Power of Wishes",1874,https://dbz-dokkanbattle.fandom.com/wiki/Proof_of_Resurrection_Golden_Frieza
Proof of Tough Trainings Super Saiyan Goku,UR,Super,AGL,2017-03-03,2016-10-13,2021-11-11,2021-07-07,Yes,Yes,8767,8365,4830,10327,10165,6870,11006,10468,5704,12566,12268,7744,"Pure Saiyans, Goku's Family, Super Saiyans, Kamehameha (Category), Turtle School, Bond of Friendship, Accelerated Battle, Bond of Parent and Child, Earth-Bred Fighters",1857,https://dbz-dokkanbattle.fandom.com/wiki/Proof_of_Tough_Trainings_Super_Saiyan_Goku
Protector of Hope Super Saiyan Gohan (Future),UR,Super,TEQ,2017-01-11,2016-09-08,na,na,No,No,11220,10236,6131,13820,13636,9131,na,na,na,na,na,na,"Hybrid Saiyans, Future Saga, Goku's Family, Super Saiyans, Androids-Cell Saga, Kamehameha (Category), Bond of Master and Disciple, All-Out Struggle, Connected Hope, Bond of Parent and Child, Earth-Bred Fighters",1853,https://dbz-dokkanbattle.fandom.com/wiki/Protector_of_Hope_Super_Saiyan_Gohan_(Future)
Proud Bloodline Bulpan,UR,Super,AGL,2017-03-30,2016-10-05,2022-02-08,2021-12-16,Yes,Yes,11021,9801,6898,13621,12801,10298,13560,12111,8005,16160,15111,11405,"Peppy Gals, Fusion, Hybrid Saiyans, Youth, Crossover, Fused Fighters, Earth-Bred Fighters",1926,https://dbz-dokkanbattle.fandom.com/wiki/Proud_Bloodline_Bulpan
Proudest Moment Brianne de Chateau,UR,Super,INT,2020-01-24,2019-08-13,2022-10-17,2022-08-12,Yes,Yes,9696,10866,6716,12696,13866,9716,12292,13857,8307,15292,16857,11307,"Peppy Gals, Universe Survival Saga, Transformation Boost, Special Pose, Space-Traveling Warriors",11406,https://dbz-dokkanbattle.fandom.com/wiki/Proudest_Moment_Brianne_de_Chateau
Pure Determination Goku (Youth),UR,Super,AGL,2019-05-08,2019-01-10,na,na,No,No,9817,10814,6582,12417,13814,9982,na,na,na,na,na,na,"Dragon Ball Seekers, Movie Heroes, Youth, DB Saga",11595,https://dbz-dokkanbattle.fandom.com/wiki/Pure_Determination_Goku_(Youth)
Pure-Hearted Brothers Gohan (Teen) & Goten (Kid),UR,Super,TEQ,2022-07-07,2022-01-29,na,na,No,No,10466,10205,7001,13066,13605,10001,na,na,na,na,na,na,"Hybrid Saiyans, Majin Buu Saga, Joined Forces, Bond of Parent and Child, Earth-Bred Fighters",12388,https://dbz-dokkanbattle.fandom.com/wiki/Pure-Hearted_Brothers_Gohan_(Teen)_%26_Goten_(Kid)
Pursuing Perfection Cell (2nd Form),UR,Extreme,TEQ,2020-06-15,2020-03-10,na,na,No,No,13325,11035,7294,15925,14435,10294,na,na,na,na,na,na,"Androids, Transformation Boost, Time Travelers, Artificial Life Forms, Androids-Cell Saga, Target: Goku, Power Absorption, Sworn Enemies, Accelerated Battle, Worldwide Chaos",11513,https://dbz-dokkanbattle.fandom.com/wiki/Pursuing_Perfection_Cell_(2nd_Form)
Quest for the Dragon Balls Goku (Youth),UR,Super,PHY,2023-02-01,2022-10-04,na,na,No,No,15655,12054,9730,19055,15054,12330,na,na,na,na,na,na,"Low-Class Warrior, Pure Saiyans, Dragon Ball Seekers, Movie Heroes, Goku's Family, Youth, DB Saga, Kamehameha (Category), Exploding Rage, Bond of Friendship, Bond of Parent and Child, Earth-Bred Fighters",12507,https://dbz-dokkanbattle.fandom.com/wiki/Quest_for_the_Dragon_Balls_Goku_(Youth)
Quietly Burning Spirit Android 17,UR,Super,TEQ,2018-09-13,2018-04-26,na,na,No,No,10947,9599,7376,13547,12999,10376,na,na,na,na,na,na,"Universe Survival Saga, Androids, Representatives of Universe 7, Siblings' Bond, Worthy Rivals, Battle of Wits, Defenders of Justice, Super Heroes",11381,https://dbz-dokkanbattle.fandom.com/wiki/Quietly_Burning_Spirit_Android_17
Radiant Potential Caulifla,UR,Super,TEQ,2020-08-11,2020-05-29,na,na,No,No,9643,10716,6630,12243,14116,9630,na,na,na,na,na,na,"Peppy Gals, Universe Survival Saga, Pure Saiyans, Universe 6, Rapid Growth, Gifted Warriors, Bond of Friendship",11971,https://dbz-dokkanbattle.fandom.com/wiki/Radiant_Potential_Caulifla
Rageful Erasure Frieza (Final Form),UR,Extreme,INT,2020-11-06,2020-06-02,2020-11-06,2020-06-02,Yes,Yes,8952,8445,5444,10752,10245,7244,11567,10889,6875,13367,12689,8675,"Planet Namek Saga, Transformation Boost, Wicked Bloodline, Dragon Ball Seekers, Terrifying Conquerors, Inhuman Deeds, Space-Traveling Warriors, Gifted Warriors, Planetary Destruction, Sworn Enemies, Accelerated Battle",12015,https://dbz-dokkanbattle.fandom.com/wiki/Rageful_Erasure_Frieza_(Final_Form)
Raging Counterattack Bardock,UR,Super,AGL,2020-03-18,2020-03-18,na,na,No,No,14640,13794,8063,17240,16794,11463,na,na,na,na,na,na,"Resurrected Warriors, Low-Class Warrior, Pure Saiyans, Transformation Boost, Time Travelers, Goku's Family, Super Saiyans, Exploding Rage, Revenge, Crossover, Miraculous Awakening, Powerful Comeback, Storied Figures, Legendary Existence, Bond of Parent and Child",11914,https://dbz-dokkanbattle.fandom.com/wiki/Raging_Counterattack_Bardock
Raging Dash Majin Buu (South Supreme Kai),UR,Extreme,TEQ,2017-01-01,2016-09-01,2020-10-13,2020-08-04,Yes,Yes,11481,10683,5566,14081,14083,8566,14584,13472,6727,17184,16872,9727,"Resurrected Warriors, Majin Buu Saga, Transformation Boost, Artificial Life Forms, Majin Power, Power Absorption, Planetary Destruction, Storied Figures, Legendary Existence, Sworn Enemies, Worldwide Chaos",1813,https://dbz-dokkanbattle.fandom.com/wiki/Raging_Dash_Majin_Buu_(South_Supreme_Kai)
Rampaging Vengeance Super Baby 2 (Giant Ape),UR,Extreme,INT,2017-07-07,2017-01-31,na,na,No,No,10947,10232,6584,13947,13232,9584,na,na,na,na,na,na,"Giant Form, Transformation Boost, Artificial Life Forms, Terrifying Conquerors, Target: Goku, Final Trump Card, Revenge, Inhuman Deeds, Giant Ape Power, Space-Traveling Warriors, Corroded Body and Mind, GT Bosses",1652,https://dbz-dokkanbattle.fandom.com/wiki/Rampaging_Vengeance_Super_Baby_2_(Giant_Ape)
Rapid Growth Super Trunks,UR,Super,INT,2019-05-03,2018-12-07,na,na,No,No,11764,9669,6991,14764,12669,9991,na,na,na,na,na,na,"Hybrid Saiyans, Future Saga, Full Power, Time Travelers, Vegeta's Family, Super Saiyans, Androids-Cell Saga, Bond of Master and Disciple, Rapid Growth, Saviors, Connected Hope, Heavenly Events, Mastered Evolution, Entrusted Will, Power Beyond Super Saiyan, Earth-Bred Fighters",11471,https://dbz-dokkanbattle.fandom.com/wiki/Rapid_Growth_Super_Trunks
Razor-Sharp Swift Attack Android 18,UR,Super,INT,2022-03-11,2021-12-17,na,na,No,No,8114,9632,6588,9914,11432,8388,na,na,na,na,na,na,"Peppy Gals, Majin Buu Saga, Androids, Siblings' Bond, Worthy Rivals, Battle of Wits",12381,https://dbz-dokkanbattle.fandom.com/wiki/Razor-Sharp_Swift_Attack_Android_18
Ready for a New Battle Gohan (Youth),UR,Super,INT,2021-04-23,2020-08-07,na,na,No,No,9142,9893,5748,10942,11693,7548,na,na,na,na,na,na,"Hybrid Saiyans, Goku's Family, Youth, Androids-Cell Saga, Bond of Master and Disciple, Rapid Growth, Heavenly Events, Bond of Parent and Child, Earth-Bred Fighters",11979,https://dbz-dokkanbattle.fandom.com/wiki/Ready_for_a_New_Battle_Gohan_(Youth)
Reckless Strength Super Saiyan Gotenks,UR,Super,AGL,2017-12-11,2017-06-01,2023-06-30,2023-04-17,Yes,Yes,11246,10371,6448,13846,13371,9848,14104,12901,7817,16704,15901,11217,"Fusion, Hybrid Saiyans, Majin Buu Saga, Youth, Super Saiyans, Special Pose, Rapid Growth, Connected Hope, Gifted Warriors, Heavenly Events, Time Limit, Entrusted Will, Fused Fighters, Earth-Bred Fighters",11107,https://dbz-dokkanbattle.fandom.com/wiki/Reckless_Strength_Super_Saiyan_Gotenks
Reclaim the Summit Super Saiyan Vegeta,UR,Extreme,TEQ,2016-05-23,2016-01-19,2020-04-20,2019-12-12,Yes,Yes,10423,9031,6750,13423,12031,9750,12927,11352,7862,15927,14352,10862,"Pure Saiyans, Vegeta's Family, Super Saiyans, Androids-Cell Saga, Gifted Warriors, Mastered Evolution",1555,https://dbz-dokkanbattle.fandom.com/wiki/Reclaim_the_Summit_Super_Saiyan_Vegeta
Recognized Strength Gotenks,UR,Super,TEQ,2023-01-27,2022-11-25,na,na,No,No,10263,10155,4861,11823,12195,6661,na,na,na,na,na,na,"Fusion, Hybrid Saiyans, Majin Buu Saga, Youth, Special Pose, Rapid Growth, Connected Hope, Gifted Warriors, Heavenly Events, Time Limit, Entrusted Will, Fused Fighters, Earth-Bred Fighters",12564,https://dbz-dokkanbattle.fandom.com/wiki/Recognized_Strength_Gotenks
Recurring Nightmare Super Saiyan 3 Broly,UR,Extreme,PHY,2018-01-31,2017-06-30,na,na,No,No,10035,8660,5208,12075,10460,6768,na,na,na,na,na,na,"Super Saiyan 3, Pure Saiyans, Crossover, Power Beyond Super Saiyan",11118,https://dbz-dokkanbattle.fandom.com/wiki/Recurring_Nightmare_Super_Saiyan_3_Broly
Red and Blue Light Orbs Jeice & Burter,UR,Extreme,INT,2022-05-31,2022-03-03,na,na,No,No,15074,9403,6990,18074,12403,9990,na,na,na,na,na,na,"Planet Namek Saga, Ginyu Force, Dragon Ball Seekers, Joined Forces, Terrifying Conquerors, Special Pose, Space-Traveling Warriors",12373,https://dbz-dokkanbattle.fandom.com/wiki/Red_and_Blue_Light_Orbs_Jeice_%26_Burter
Reliable Knowledge Trunks (GT) & Giru,UR,Super,INT,2022-10-04,2022-07-29,na,na,No,No,13534,8869,8428,16534,11869,11428,na,na,na,na,na,na,"Dragon Ball Seekers, Joined Forces, Space-Traveling Warriors, GT Heroes, Bond of Friendship",12478,https://dbz-dokkanbattle.fandom.com/wiki/Reliable_Knowledge_Trunks_(GT)_%26_Giru
Resilient Power of Emotions Kale (Berserk),UR,Super,AGL,2023-08-11,2023-04-01,na,na,No,No,13190,14548,7845,15790,17548,11245,na,na,na,na,na,na,"Peppy Gals, Universe Survival Saga, Pure Saiyans, Full Power, Transformation Boost, Universe 6, Super Saiyan 2, Exploding Rage, Rapid Growth, Miraculous Awakening, Bond of Friendship, Power Beyond Super Saiyan",12648,https://dbz-dokkanbattle.fandom.com/wiki/Resilient_Power_of_Emotions_Kale_(Berserk)
Resilient Will to Protect the Future Trunks (Teen) (Future),UR,Super,TEQ,2019-11-12,2019-04-26,na,na,No,No,14750,13600,9000,17350,17000,12000,na,na,na,na,na,na,"Hybrid Saiyans, Future Saga, Time Travelers, Vegeta's Family, Transformation Boost, Super Saiyans, Bond of Master and Disciple, Revenge, Battle of Wits, Miraculous Awakening, Entrusted Will, Battle of Fate, Bond of Parent and Child, Earth-Bred Fighters, Super Heroes, Power of Wishes",11708,https://dbz-dokkanbattle.fandom.com/wiki/Resilient_Will_to_Protect_the_Future_Trunks_(Teen)_(Future)
Resolute Execution Cooler (Final Form),UR,Extreme,AGL,2019-01-25,2018-08-10,na,na,No,No,10401,9282,5910,11961,11082,7950,na,na,na,na,na,na,"Movie Bosses, Transformation Boost, Wicked Bloodline, Terrifying Conquerors, Target: Goku, Final Trump Card, Space-Traveling Warriors, Planetary Destruction",11334,https://dbz-dokkanbattle.fandom.com/wiki/Resolute_Execution_Cooler_(Final_Form)
Resolve for the Final Battle Super Saiyan 3 Goku,UR,Super,INT,2020-09-15,2020-09-15,2020-09-15,2020-09-15,Yes,Yes,8336,8905,5057,10136,10705,6857,10743,11504,6358,12543,13304,8158,"Majin Buu Saga, Super Saiyan 3, Pure Saiyans, Goku's Family, Kamehameha (Category), Final Trump Card, Connected Hope, Turtle School, Mastered Evolution, Bond of Friendship, Accelerated Battle, Battle of Fate, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters, Power of Wishes",12062,https://dbz-dokkanbattle.fandom.com/wiki/Resolve_for_the_Final_Battle_Super_Saiyan_3_Goku
Restoring Our Clan's Reputation Cooler,UR,Extreme,TEQ,2022-08-26,2022-08-26,2022-09-13,2022-09-13,Yes,Yes,8803,9123,4551,10363,11163,6351,11368,11796,5681,12928,13836,7481,"Movie Bosses, Transformation Boost, Wicked Bloodline, Terrifying Conquerors, Target: Goku, Space-Traveling Warriors, Planetary Destruction",12521,https://dbz-dokkanbattle.fandom.com/wiki/Restoring_Our_Clan%27s_Reputation_Cooler
Returning Demon Lord Demon God Dabura (Xeno),UR,Extreme,AGL,2020-11-19,2020-11-19,na,na,No,No,12981,10971,6331,15581,13971,9731,na,na,na,na,na,na,"Dragon Ball Seekers, Time Travelers, Siblings' Bond, Terrifying Conquerors, Dragon Ball Heroes, Crossover",12091,https://dbz-dokkanbattle.fandom.com/wiki/Returning_Demon_Lord_Demon_God_Dabura_(Xeno)
Returning from the Otherworld Super Saiyan 2 Goku (Angel),UR,Super,TEQ,2017-10-12,2017-03-17,2023-02-16,2022-12-15,Yes,Yes,11246,10333,6495,13846,13733,9495,14177,12975,7920,16777,16375,10920,"Resurrected Warriors, Majin Buu Saga, Pure Saiyans, Goku's Family, Kamehameha (Category), Otherworld Warriors, Super Saiyan 2, Turtle School, Time Limit, Mastered Evolution, Bond of Friendship, Accelerated Battle, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters",11027,https://dbz-dokkanbattle.fandom.com/wiki/Returning_from_the_Otherworld_Super_Saiyan_2_Goku_(Angel)
Revenge Technology Androids 14 & 15,UR,Extreme,PHY,2020-04-02,2019-11-29,2022-03-09,2021-11-02,Yes,Yes,8725,8968,4784,10765,10768,6344,11263,11588,5993,13303,13388,7553,"Androids, Joined Forces, Artificial Life Forms, Target: Goku",11852,https://dbz-dokkanbattle.fandom.com/wiki/Revenge_Technology_Androids_14_%26_15
Righteous Otherworld Defense Paikuhan,UR,Super,AGL,2021-04-02,2020-12-28,na,na,No,No,14600,13900,8700,17200,16900,12100,na,na,na,na,na,na,"Movie Heroes, Worthy Rivals, Otherworld Warriors, Saviors, Battle of Wits, Connected Hope, Storied Figures",12133,https://dbz-dokkanbattle.fandom.com/wiki/Righteous_Otherworld_Defense_Paikuhan
Rising to the Challenge Goku,UR,Super,PHY,2018-08-13,2018-03-31,na,2023-05-31,No,Yes,11756,9985,6301,15156,12985,8901,14791,12469,7639,18191,15469,10239,"Pure Saiyans, Movie Heroes, Goku's Family, Final Trump Card, Turtle School, Bond of Friendship, Bond of Parent and Child, Earth-Bred Fighters, Power of Wishes",11379,https://dbz-dokkanbattle.fandom.com/wiki/Rising_to_the_Challenge_Goku
Rising Wickedness Janembu,UR,Extreme,TEQ,2022-02-22,2021-12-28,2022-02-22,2022-01-07,Yes,Yes,12815,10430,6836,15415,13830,9836,16463,13273,8467,19063,16673,11467,"Fusion, Transformation Boost, Majin Power, Crossover, Fused Fighters",12367,https://dbz-dokkanbattle.fandom.com/wiki/Rising_Wickedness_Janembu
Risky Covering Fire Tien,UR,Super,PHY,2020-08-29,2020-08-29,na,na,No,No,12091,10756,6782,15491,13756,9382,na,na,na,na,na,na,"Majin Buu Saga, Worthy Rivals, Earthlings, Saviors, Connected Hope, Bond of Friendship, Earth-Bred Fighters",12028,https://dbz-dokkanbattle.fandom.com/wiki/Risky_Covering_Fire_Tien
Roar of Rage Gohan (Kid),UR,Super,INT,2020-02-17,2019-10-21,na,na,No,No,13775,10945,7181,16775,13945,10181,na,na,na,na,na,na,"Hybrid Saiyans, Planet Namek Saga, Dragon Ball Seekers, Goku's Family, Youth, Bond of Master and Disciple, Exploding Rage, Bond of Parent and Child, Earth-Bred Fighters",11500,https://dbz-dokkanbattle.fandom.com/wiki/Roar_of_Rage_Gohan_(Kid)
Roaring Hatred from Hell Cell (Perfect Form) (GT),UR,Extreme,INT,2018-11-21,2018-07-01,na,2023-07-20,No,Yes,11274,10170,6424,14274,13170,9424,14402,12926,7916,17402,15926,10916,"Androids, Transformation Boost, Time Travelers, Artificial Life Forms, Target: Goku, Otherworld Warriors, Revenge, GT Bosses, Sworn Enemies",11435,https://dbz-dokkanbattle.fandom.com/wiki/Roaring_Hatred_from_Hell_Cell_(Perfect_Form)_(GT)
Rose Stained Super Saiyan Goku Black (Super Saiyan Rosé),UR,Extreme,AGL,2017-04-14,2016-11-17,2020-05-29,2020-06-09,Yes,Yes,13420,12100,6755,16020,15100,10155,16038,14416,7845,18638,17416,11245,"Realm of Gods, Potara, Future Saga, Time Travelers, Inhuman Deeds, Corroded Body and Mind, Accelerated Battle, Worldwide Chaos, Power Beyond Super Saiyan, Power of Wishes",1935,https://dbz-dokkanbattle.fandom.com/wiki/Rose_Stained_Super_Saiyan_Goku_Black_(Super_Saiyan_Ros%C3%A9)
Roused Prince Super Saiyan 3 Vegeta (Xeno),UR,Super,PHY,2020-01-17,2019-11-21,2022-11-22,2022-11-22,Yes,Yes,10789,11597,6644,14189,14597,9244,13753,14834,8210,17153,17834,10810,"Super Saiyan 3, Pure Saiyans, Time Travelers, Vegeta's Family, Worthy Rivals, Dragon Ball Heroes, Crossover, Gifted Warriors, Defenders of Justice, Power Beyond Super Saiyan, Bond of Parent and Child",11834,https://dbz-dokkanbattle.fandom.com/wiki/Roused_Prince_Super_Saiyan_3_Vegeta_(Xeno)
Rousing Fighting Spirit Super Saiyan 2 Goku (Angel),UR,Super,INT,2020-05-08,2019-12-26,na,na,No,No,13850,14440,8400,16850,17440,11400,na,na,na,na,na,na,"Majin Buu Saga, Resurrected Warriors, Super Saiyan 3, Pure Saiyans, Transformation Boost, Goku's Family, Kamehameha (Category), Otherworld Warriors, Super Saiyan 2, Connected Hope, Turtle School, Time Limit, Mastered Evolution, Bond of Friendship, Accelerated Battle, Power Beyond Super Saiyan, Bond of Parent and Child, Earth-Bred Fighters",11741,https://dbz-dokkanbattle.fandom.com/wiki/Rousing_Fighting_Spirit_Super_Saiyan_2_Goku_(Angel)
Ruffian's Strike Shugesh,UR,Super,PHY,2020-03-18,2020-03-18,2022-06-10,2022-03-10,Yes,Yes,7357,8406,4638,9757,10806,7038,9299,10702,5663,11699,13102,8063,"Low-Class Warrior, Pure Saiyans, Team Bardock, Space-Traveling Warriors, Storied Figures",11922,https://dbz-dokkanbattle.fandom.com/wiki/Ruffian%27s_Strike_Shugesh
Ruled by Bloodlust Android 17,UR,Extreme,AGL,2017-09-15,2017-04-01,2022-02-01,2021-12-09,Yes,Yes,11413,10158,6444,14013,13158,9844,14850,12993,7480,17450,15993,10880,"Androids, Siblings' Bond, Target: Goku, Corroded Body and Mind",11056,https://dbz-dokkanbattle.fandom.com/wiki/Ruled_by_Bloodlust_Android_17
Rumored Warrior of Justice Super Saiyan Gohan (Teen),UR,Super,STR,2020-10-30,2020-03-13,na,na,No,No,10730,8959,6121,12530,10999,7681,na,na,na,na,na,na,"Hybrid Saiyans, Majin Buu Saga, Goku's Family, Siblings' Bond, Super Saiyans, Defenders of Justice, Bond of Parent and Child, Earth-Bred Fighters",11884,https://dbz-dokkanbattle.fandom.com/wiki/Rumored_Warrior_of_Justice_Super_Saiyan_Gohan_(Teen)
Ruthless Android Android 13,UR,Extreme,STR,2020-04-02,2019-11-29,2022-03-09,2021-11-02,Yes,Yes,10110,8848,5310,11910,10888,6870,13115,11428,6696,14915,13468,8256,"Movie Bosses, Androids, Artificial Life Forms, Target: Goku",11856,https://dbz-dokkanbattle.fandom.com/wiki/Ruthless_Android_Android_13
Ruthless Evil Fusion Coolieza,UR,Extreme,STR,2022-02-22,2021-12-28,2022-02-22,2022-01-07,Yes,Yes,11890,10512,7195,14890,13912,9795,15226,13383,8947,18226,16783,11547,"Fusion, Transformation Boost, Wicked Bloodline, Terrifying Conquerors, Crossover, Fused Fighters",12371,https://dbz-dokkanbattle.fandom.com/wiki/Ruthless_Evil_Fusion_Coolieza
Ruthless Invader Raditz,UR,Extreme,INT,2018-04-05,2017-11-22,2020-10-13,2020-05-08,Yes,Yes,7050,10038,5353,8850,11838,7153,8748,12604,6559,10548,14404,8359,"Low-Class Warrior, Pure Saiyans, Goku's Family, Terrifying Conquerors, Space-Traveling Warriors, Saiyan Saga",11270,https://dbz-dokkanbattle.fandom.com/wiki/Ruthless_Invader_Raditz
Ruthless Pressure Android 17 (Future),UR,Extreme,PHY,2018-12-12,2018-05-31,na,na,No,No,11972,10046,6304,15372,13046,8904,na,na,na,na,na,na,"Future Saga, Androids, Siblings' Bond, Androids-Cell Saga, Worldwide Chaos",11145,https://dbz-dokkanbattle.fandom.com/wiki/Ruthless_Pressure_Android_17_(Future)
